epoch,accuracy,loss,val_accuracy,val_loss
0,0.6327868700027466,0.6518197059631348,0.709133505821228,0.5749679207801819
1,0.7218969464302063,0.5405621528625488,0.7398126721382141,0.524747908115387
2,0.7556205987930298,0.49051734805107117,0.7683840990066528,0.4834192991256714
3,0.7768149971961975,0.4525245130062103,0.7819672226905823,0.45504459738731384
4,0.7889344096183777,0.43467918038368225,0.7946135997772217,0.4342951774597168
5,0.8042154312133789,0.40760335326194763,0.7948477864265442,0.4326147437095642
6,0.8131732940673828,0.39216384291648865,0.8103044629096985,0.4036494791507721
7,0.8239461183547974,0.3708328902721405,0.8079625368118286,0.40817928314208984
8,0.8359484672546387,0.34952643513679504,0.820608913898468,0.3873087465763092
9,0.8382318615913391,0.3379705846309662,0.8222482204437256,0.3765105605125427
10,0.8495901823043823,0.3228805363178253,0.8281030654907227,0.3779100775718689
11,0.8548009395599365,0.3045181334018707,0.834894597530365,0.36008408665657043
12,0.8650468587875366,0.28900814056396484,0.8468384146690369,0.3396131694316864
13,0.8700819611549377,0.2767144739627838,0.8370023369789124,0.3626329302787781
14,0.8753513097763062,0.26303163170814514,0.8395784497261047,0.3563532829284668
15,0.8872950673103333,0.24336346983909607,0.8475409746170044,0.34102392196655273
16,0.8893442749977112,0.2335137128829956,0.8512880802154541,0.3411062955856323
17,0.9012295007705688,0.21670855581760406,0.8517564535140991,0.34978729486465454
18,0.9018149971961975,0.21089522540569305,0.8606557250022888,0.3422464430332184
19,0.9093091487884521,0.19546230137348175,0.8597189784049988,0.343630850315094
